Model,synonyms,hypernyms,hyponyms,member_holonyms,member_meronyms,part_holonyms,part_meronyms,substance_holonyms,substance_meronyms,antonyms,pertainyms,derivationally_related_forms
CBoW_W1_word_pair_relation.csv,1.0,0.8726771097703007,0.007787976319302855,1.0,0.12184873949579823,1.0,1.0,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W2_word_pair_relation.csv,1.0,0.9693818763971476,0.007787976319302855,1.0,0.12184873949579823,1.0,0.5840336134453773,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W3_word_pair_relation.csv,1.0,0.8726771097703007,0.03534744566091277,1.0,0.12184873949579823,1.0,0.5840336134453773,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W4_word_pair_relation.csv,1.0,0.8726771097703007,0.03534744566091277,1.0,0.12184873949579823,1.0,0.5840336134453773,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W5_word_pair_relation.csv,1.0,0.9693818763971476,0.03534744566091277,1.0,0.12184873949579823,1.0,0.12184873949579823,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W6_word_pair_relation.csv,1.0,0.8726771097703007,0.11522996549166607,1.0,0.12184873949579823,1.0,0.5840336134453773,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W7_word_pair_relation.csv,1.0,0.6764645398027859,0.03534744566091277,1.0,0.12184873949579823,1.0,0.12184873949579823,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W8_word_pair_relation.csv,1.0,0.9693818763971476,0.007787976319302855,1.0,0.5840336134453773,1.0,0.12184873949579823,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W9_word_pair_relation.csv,1.0,0.4228493562809445,0.03534744566091277,1.0,0.5840336134453773,1.0,0.5840336134453773,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W10_word_pair_relation.csv,1.0,0.8726771097703007,0.03534744566091277,1.0,0.5840336134453773,1.0,0.12184873949579823,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W11_word_pair_relation.csv,1.0,0.9693818763971476,0.007787976319302855,1.0,0.5840336134453773,1.0,0.5840336134453773,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W12_word_pair_relation.csv,1.0,0.6764645398027859,0.007787976319302855,1.0,0.5840336134453773,1.0,1.0,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W13_word_pair_relation.csv,1.0,0.6764645398027859,0.007787976319302855,1.0,0.12184873949579823,1.0,0.5840336134453773,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W14_word_pair_relation.csv,1.0,0.8726771097703007,0.007787976319302855,1.0,0.5840336134453773,1.0,1.0,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W15_word_pair_relation.csv,1.0,0.8726771097703007,0.007787976319302855,1.0,0.5840336134453773,1.0,0.5840336134453773,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W16_word_pair_relation.csv,1.0,0.6764645398027859,0.03534744566091277,1.0,0.12184873949579823,1.0,0.5840336134453773,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W17_word_pair_relation.csv,1.0,0.8726771097703007,0.11522996549166607,1.0,0.5840336134453773,1.0,0.5840336134453773,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W18_word_pair_relation.csv,1.0,0.8726771097703007,0.03534744566091277,1.0,0.5840336134453773,1.0,0.5840336134453773,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W19_word_pair_relation.csv,1.0,0.6764645398027859,0.007787976319302855,1.0,0.5840336134453773,1.0,0.5840336134453773,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W20_word_pair_relation.csv,1.0,0.6764645398027859,0.007787976319302855,1.0,0.5840336134453773,1.0,0.5840336134453773,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W21_word_pair_relation.csv,1.0,0.6764645398027859,0.007787976319302855,1.0,0.12184873949579823,1.0,1.0,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W22_word_pair_relation.csv,1.0,0.8726771097703007,0.03534744566091277,1.0,0.5840336134453773,1.0,0.5840336134453773,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W23_word_pair_relation.csv,1.0,0.8726771097703007,0.007787976319302855,1.0,0.5840336134453773,1.0,0.5840336134453773,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W24_word_pair_relation.csv,1.0,0.8726771097703007,0.03534744566091277,1.0,0.5840336134453773,1.0,0.5840336134453773,1.0,1.0,0.352941176470589,1.0,1.0,
CBoW_W25_word_pair_relation.csv,1.0,0.9693818763971476,0.44285195712137443,1.0,0.352941176470589,0.352941176470589,0.5840336134453773,1.0,1.0,0.352941176470589,1.0,1.0,
