Model,synonyms,hypernyms,hyponyms,member_holonyms,member_meronyms,part_holonyms,part_meronyms,substance_holonyms,substance_meronyms,antonyms,pertainyms,derivationally_related_forms
CBoW_W1_word_pair_relation.csv,0.7124873613339997,0.6362524416974914,0.2935236216296156,1.0,1.0,1.0,1.0,1.0,1.0,0.058303488032466586,1.0,1.0,
CBoW_W2_word_pair_relation.csv,0.7124873613339997,0.6362524416974914,0.8142412305099026,1.0,1.0,1.0,1.0,1.0,1.0,0.058303488032466586,1.0,1.0,
CBoW_W3_word_pair_relation.csv,0.7124873613339997,0.853585015639418,0.6542226862578179,1.0,0.21246937568638968,0.4515948274503929,1.0,1.0,1.0,0.48177214600124846,1.0,1.0,
CBoW_W4_word_pair_relation.csv,0.7124873613339997,0.853585015639418,0.6542226862578179,1.0,0.21246937568638968,0.4515948274503929,1.0,1.0,1.0,0.48177214600124846,1.0,1.0,
CBoW_W5_word_pair_relation.csv,0.7124873613339997,0.853585015639418,0.6542226862578179,1.0,0.21246937568638968,0.4515948274503929,1.0,1.0,1.0,0.48177214600124846,1.0,1.0,
CBoW_W6_word_pair_relation.csv,0.7124873613339997,0.6362524416974914,0.6542226862578179,1.0,0.21246937568638968,0.4515948274503929,1.0,1.0,1.0,0.19862446345407583,1.0,1.0,
CBoW_W7_word_pair_relation.csv,0.7124873613339997,0.38748182246838286,0.8142412305099026,1.0,0.21246937568638968,0.4515948274503929,1.0,1.0,1.0,0.19862446345407583,1.0,1.0,
CBoW_W8_word_pair_relation.csv,0.7124873613339997,0.853585015639418,0.8142412305099026,1.0,0.21246937568638968,0.4515948274503929,1.0,0.11235955056180848,1.0,0.48177214600124846,1.0,1.0,
CBoW_W9_word_pair_relation.csv,0.926339737201294,0.38748182246838286,0.9216557105049692,1.0,0.21246937568638968,0.4515948274503929,1.0,1.0,1.0,0.48177214600124846,1.0,1.0,
CBoW_W10_word_pair_relation.csv,0.926339737201294,0.853585015639418,0.9216557105049692,1.0,0.21246937568638968,0.4515948274503929,1.0,1.0,1.0,0.058303488032466586,1.0,1.0,
CBoW_W11_word_pair_relation.csv,0.7124873613339997,0.853585015639418,0.9216557105049692,1.0,0.21246937568638968,0.4515948274503929,1.0,0.11235955056180848,1.0,0.48177214600124846,1.0,1.0,
CBoW_W12_word_pair_relation.csv,0.926339737201294,0.6362524416974914,0.9216557105049692,1.0,0.21246937568638968,0.4515948274503929,1.0,1.0,1.0,0.19862446345407583,1.0,1.0,
CBoW_W13_word_pair_relation.csv,0.926339737201294,0.853585015639418,0.6542226862578179,1.0,0.21246937568638968,0.4515948274503929,1.0,1.0,1.0,0.19862446345407583,1.0,1.0,
CBoW_W14_word_pair_relation.csv,0.926339737201294,0.853585015639418,0.8142412305099026,1.0,0.21246937568638968,0.4515948274503929,1.0,1.0,1.0,0.19862446345407583,1.0,1.0,
CBoW_W15_word_pair_relation.csv,0.926339737201294,0.853585015639418,0.9216557105049692,1.0,0.21246937568638968,0.4515948274503929,1.0,1.0,1.0,0.19862446345407583,1.0,1.0,
CBoW_W16_word_pair_relation.csv,1.0,0.6362524416974914,0.8142412305099026,1.0,1.0,0.4515948274503929,1.0,1.0,1.0,0.19862446345407583,1.0,1.0,
CBoW_W17_word_pair_relation.csv,0.926339737201294,0.853585015639418,0.9758786578824407,1.0,0.21246937568638968,0.4515948274503929,1.0,1.0,1.0,0.058303488032466586,1.0,1.0,
CBoW_W18_word_pair_relation.csv,0.926339737201294,0.853585015639418,0.9216557105049692,1.0,0.21246937568638968,0.4515948274503929,1.0,0.11235955056180848,1.0,0.48177214600124846,1.0,1.0,
CBoW_W19_word_pair_relation.csv,0.926339737201294,0.6362524416974914,0.9216557105049692,1.0,0.21246937568638968,0.4515948274503929,1.0,1.0,1.0,0.48177214600124846,1.0,1.0,
CBoW_W20_word_pair_relation.csv,0.926339737201294,0.853585015639418,0.9758786578824407,1.0,0.21246937568638968,0.4515948274503929,1.0,0.11235955056180848,1.0,0.058303488032466586,1.0,1.0,
CBoW_W21_word_pair_relation.csv,0.926339737201294,0.853585015639418,0.9758786578824407,1.0,1.0,0.4515948274503929,1.0,1.0,1.0,0.012405547833990277,1.0,1.0,
CBoW_W22_word_pair_relation.csv,0.926339737201294,0.6362524416974914,0.9216557105049692,1.0,0.21246937568638968,0.4515948274503929,1.0,1.0,1.0,0.058303488032466586,1.0,1.0,
CBoW_W23_word_pair_relation.csv,0.926339737201294,0.853585015639418,0.8142412305099026,1.0,1.0,0.4515948274503929,1.0,1.0,1.0,0.058303488032466586,1.0,1.0,
CBoW_W24_word_pair_relation.csv,0.926339737201294,0.853585015639418,0.9758786578824407,1.0,0.21246937568638968,0.4515948274503929,1.0,0.11235955056180848,1.0,0.058303488032466586,1.0,1.0,
CBoW_W25_word_pair_relation.csv,0.926339737201294,0.853585015639418,0.9758786578824407,1.0,0.21246937568638968,0.4515948274503929,1.0,0.11235955056180848,1.0,0.19862446345407583,1.0,1.0,
